Codepoint,Hanzi,pinyin,Traditional Variant,Simplified Variant,Definition
U+7687,皇,huáng,,,"royal, imperial; ruler, superior"
U+7688,皈,guī,,,"follow, comply with"
U+768B,皋,gāo,,,the high land along a river
U+768E,皎,jiǎo,,,"white; bright, brilliant; clear"
U+7691,皑,ái,皚,,brilliant white
U+7693,皓,hào,,,"bright, luminous; clear; hoary"
U+7696,皖,wǎn,,,Anhui province
U+769A,皚,ái,,皑,brilliant white
U+76AE,皮,pí,,,"skin, hide, fur, feather; outer"
U+76B1,皱,zhòu,"皱,皺",皱,"wrinkles, creases, folds"
U+76B2,皲,jūn,皸,,"crack, chap"
U+76BA,皺,zhòu,,皱,"wrinkles, creases, folds"
U+76BF,皿,mǐn,,,shallow container; rad. no. 108
U+76C2,盂,yú,,,basin; cup
U+76C3,盃,bēi,,,"glass, cup"
U+76C5,盅,zhōng,,,small cup or bowl
U+76C6,盆,pén,,,"basin, tub, pot, bowl"
U+76C8,盈,yíng,,,"fill; full, overflowing; surplus"
U+76CA,益,yì,,,"profit, benefit; advantage; hexagram ䷩"
U+76CE,盎,àng,,,cup; pot; bowl; abundant
U+76CF,盏,zhǎn,盞,,small cup or container
U+76D0,盐,yán,鹽,,salt
U+76D1,监,jiān,監,,"supervise, control, direct"
U+76D2,盒,hé,,,small box or case; casket
U+76D4,盔,kuī,,,helmet; bowl; basin
U+76D6,盖,gài,"盖,蓋",盖,"cover, hide, protect"
U+76D7,盗,dào,盜,,"rob, steal; thief, bandit"
U+76D8,盘,pán,盤,,"tray, plate, dish; examine"
U+76DB,盛,shèng,,,"abundant, flourishing; contain; fill"
U+76DC,盜,dào,,盗,"rob, steal; thief, bandit"
U+76DE,盞,zhǎn,,盏,"small cup or container; classifier for lamps, etc."
U+76DF,盟,méng,,,"swear; oath, covenant, alliance"
U+76E1,盡,jǐn,,尽,"exhaust, use up; deplete"
U+76E3,監,jiān,,监,"supervise, control, direct"
U+76E4,盤,pán,,盘,"tray, plate, dish; examine"
U+76E5,盥,guàn,,,wash
U+76E7,盧,lú,,卢,"cottage, hut; surname; black"
U+76EA,盪,dàng,,荡,to toss about; to swing; to rock
U+76EE,目,mù,,,"eye; look, see; division, topic; Kangxi radical 109"
U+76EF,盯,dīng,,,"rivet gaze upon, keep eyes on"
U+76F2,盲,máng,,,"blind; unperceptive, shortsighted"
U+76F4,直,zhí,,,"straight, erect, vertical"
U+76F8,相,xiāng,,,"mutual, reciprocal, each other"
U+76F9,盹,dǔn,,,to doze; to nap; to nod
U+76FC,盼,pàn,,,"look, gaze; expect, hope for"
U+76FE,盾,dùn,,,"shield, shield-shaped object; currency sign for Dutch guilder"
U+7701,省,shěng,,,"province; save, economize"
U+7708,眈,dān,,,"gloat, stare at; to delay, to loiter, to hinder"
U+7709,眉,méi,,,eyebrows; upper margin of book
U+770B,看,kàn,,,"look, see; examine, scrutinize"
U+771E,眞,zhēn,,,"real, actual, true, genuine"
U+771F,真,zhēn,,,"real, actual, true, genuine"
U+7720,眠,mián,,,"close eyes, sleep; hibernate"
U+7728,眨,zhǎ,,,wink
U+7729,眩,xuàn,,,"to confuse; dizzy, dazed, disoriented"
U+772F,眯,mī,,,be blinded
U+7736,眶,kuàng,,,eye socket; rim of eye
U+7737,眷,juàn,,,"take interest in, care for"
U+7738,眸,móu,,,pupil of eye; eye
U+773A,眺,tiào,,,"look at, gaze at, scan, survey"
U+773C,眼,yǎn,,,"eye; eyelet, hole, opening"
U+773E,眾,zhòng,,众,"masses, people, multitude, crowd"
U+7740,着,zhe,"着,著",着,"make move, take action"
U+7741,睁,zhēng,睜,,open eyes; stare
U+774F,睏,kùn,,困,"be tired, sleepy"
U+7750,睐,lài,睞,,squint at; sidelong glance
U+7752,睒,shǎn,,,"to glance at, to peep; glittering; to shine"
U+775B,睛,jīng,,,eyeball; pupil of eye
U+775C,睜,zhēng,,睁,to open the eyes; stare
U+775E,睞,lài,,睐,squint at; sidelong glance
U+7761,睡,shuì,,,"sleep, doze"
U+7763,督,dū,,,"supervise, oversee, direct"
U+7766,睦,mù,,,"friendly, amiable, peaceful"
U+776B,睫,jié,,,eyelashes
U+776C,睬,cǎi,,,notice; pay attention to
U+7779,睹,dǔ,,,"look at, gaze at; observe"
U+777D,睽,kuí,,,"to squint; to stare at; unusual, strange; hexagram ䷥"
U+777E,睾,gāo,,,testicle
U+777F,睿,ruì,,,"shrewd, astute, clever, keen"
U+7784,瞄,miáo,,,take aim at; look at
U+7785,瞅,chǒu,,,to see; to look at; to gaze
U+778E,瞎,xiā,,,"blind, reckless; rash"
U+7792,瞒,mán,瞞,,"deceive, lie; eyes half-closed"
U+779E,瞞,mán,,瞒,"deceive, lie; eyes half-closed"
U+77A0,瞠,chēng,,,"look at, stare at, gaze at"
U+77A5,瞥,piē,,,take fleeting glance at
U+77A7,瞧,qiáo,,,"glance at, look at, see"
U+77A9,瞩,zhǔ,矚,,"watch carefully, stare at, focus on"
U+77AA,瞪,dèng,,,stare at
U+77AC,瞬,shùn,,,"wink, blink; in a wink, a flash"
U+77AD,瞭,liào liǎo,瞭,"了,瞭","bright, clear; clear-sighted"
U+77B0,瞰,kàn,,,"watch, spy; overlook; look down"
U+77B3,瞳,tóng,,,pupil of eye
U+77BB,瞻,zhān,,,look; look out for; respect
U+77C7,矇,méng,,蒙,"stupid, ignorant; blind"
U+77CD,矍,jué,,,look about in fright or alarm
U+77D7,矗,chù,,,"straight, upright, erect, lofty"
U+77DA,矚,zhǔ,,瞩,"watch carefully, stare at, focus on"
U+77DB,矛,máo,,,"spear, lance; Kangxi radical 110"
U+77E2,矢,shǐ,,,"arrow, dart; vow, swear"
U+77E3,矣,yǐ,,,particle of completed action
U+77E5,知,zhī,,,"know, perceive, comprehend"
U+77E9,矩,jǔ,,,"carpenter's square, ruler, rule"
U+77EB,矫,jiǎo,"矫,矯",矫,"correct, rectify, straighten out"
U+77ED,短,duǎn,,,"short; brief; deficient, lacking"
U+77EE,矮,ǎi,,,"short, dwarf; low"
U+77EF,矯,jiǎo,,矫,"correct, rectify, straighten out"
U+77F3,石,shí,,,"stone, rock, mineral; Kangxi radical 112"
U+77F6,矶,jī,磯,,jetty; submerged rock; eddy
U+77FD,矽,xì,,,(obsolete form of 硅)
U+77FF,矿,kuàng,礦,,"mine; mineral, ore"
U+7801,码,mǎ,碼,,"number, numerals; yard; symbol"
U+7802,砂,shā,,,"sand; pebbles, gravel; gritty"
U+780C,砌,qì,,,"to build, pile up; stone steps, brick walk"
U+780D,砍,kǎn,,,"hack, chop, cut, fell"
U+7812,砒,pī,,,"(obsolete form of 砒); white arsenic, arsenic trioxide"
U+7814,研,yán,,,"grind, rub; study, research"
U+7816,砖,zhuān,磚,,"tile, brick"
U+781A,砚,yàn,硯,,inkstone
U+781D,砝,fǎ,,,balance weights
U+7825,砥,dǐ,,,a whetstone; to polish
U+7830,砰,pēng,,,"sound of crashing stones, bang!"
U+7832,砲,pào,,,"gun, cannon"
U+7834,破,pò,,,"break, ruin, destroy; rout"
U+7837,砷,shēn,,,"arsenic (element 33, As)"
U+7838,砸,zá,,,"smash, crush, break; pound, mash"
U+783A,砺,lì,礪,,whetstone; sharpen
U+783E,砾,lì,礫,,"gravel, pebbles"
U+7840,础,chǔ,礎,,"foundation stone, plinth"
U+7843,硃,zhū,,朱,a red mole; cinnabar
U+7845,硅,guī,,,"silicon (element 14, Si)"
U+784F,硏,yán,,,grind
U+7850,硐,dòng,,,(variant of 洞) cave; chamber; pit
U+7852,硒,xī,,,"selenium (element 34, Se)"
U+7855,硕,shuò,碩,,"great, eminent; large, big"
U+785D,硝,xiāo,,,"saltpeter, niter; to tan"
U+786B,硫,liú,,,"sulfur (element 16, S)"
U+786C,硬,yìng,,,"hard, firm, strong; obstinate"
U+786E,确,què,"确,確",确,"sure, certain; real, true"
U+786F,硯,yàn,,砚,inkstone
U+787C,硼,péng,,,"borax, boron"
U+7881,碁,qí,,,chess; any game similar to chess
U+7887,碇,dìng,,,anchor
U+7889,碉,diāo,,,room made of stone; watchtower
U+788C,碌,lù,,,"rough, uneven, rocky; mediocre"
U+788D,碍,ài,"碍,礙",碍,"obstruct, hinder, block, deter"
U+788E,碎,suì,,,"break, smash; broken, busted"
U+7891,碑,bēi,,,stone tablet; gravestone
U+7897,碗,wǎn,,,"bowl, small dish"
U+789A,碚,bèi,,,suburb
U+789B,碛,qì,磧,,sand and gravel
U+789F,碟,dié,,,"small dish, plate"
U+78A7,碧,bì,,,"jade; green, blue"
U+78A9,碩,shuò,,硕,"great, eminent; large, big"
U+78AD,碭,dàng,,砀,brilliantly colored stone with veined patterns in it
U+78B0,碰,pèng,,,"collide, bump into"
U+78B1,碱,jiǎn,,,"alkaline, alkali, lye, salt"
U+78B2,碲,dì,,,"tellurium (element 52, Te)"
U+78B3,碳,tàn,,,"carbon (element 6, C)"
U+78B4,碴,chá,,,chipped edge of a container
U+78BA,確,què,,确,"sure, certain; real, true"
U+78BC,碼,mǎ,,码,"number, numerals; yard; symbol"
U+78BE,碾,niǎn,,,"roller, crush; roll"
U+78C1,磁,cí,,,magnetic; magnetism; porcelain
U+78C5,磅,bàng,,,pound; weigh
U+78CA,磊,lěi,,,pile of rocks or stones; great
U+78CB,磋,cuō,,,"polish, buff; scrutinize"
U+78D0,磐,pán,,,"large rock, boulder; firm"
U+78D5,磕,kē,,,"hit; collide, knock into; sound"
U+78DA,磚,zhuān,,砖,"tile, brick"
U+78E1,磡,kàn,,,"cliff, ledge, bank; step"
U+78E7,磧,qì,,碛,sand and gravel; rocks exposed at low tide; to crush
U+78E8,磨,mó,,,grind; polish; rub; wear out; a millstone
U+78EC,磬,qìng,,,musical instrument; musical stone
U+78EF,磯,jī,,矶,jetty; submerged rock; eddy
U+78F4,磴,dèng,,,"steps on ledge, cliff, or hill"
U+78F7,磷,lín,,,"phosphorus (element 15, P)"
U+78FA,磺,huáng,,,sulphur; brimstone
U+7901,礁,jiāo,,,reef; jetty; submerged rocks
U+790E,礎,chǔ,,础,"foundation stone, plinth"
U+7911,礑,dàng,,,
U+7919,礙,ài,,碍,"obstruct, hinder, block, deter"
U+7926,礦,kuàng,,矿,"mine; mineral, ore"
U+792A,礪,lì,,砺,whetstone; sharpen
U+792B,礫,lì,,砾,"gravel, pebbles, potsherds"
U+7931,礱,lóng,,砻,"grind, sharpen; mill"
U+7934,礴,bó,,,"fill, extend"
U+793A,示,shì,,,"show, manifest; demonstrate; Kangxi radical 113"
U+793C,礼,lǐ,"礼,禮",礼,social custom; manners; courtesy; rites
U+793E,社,shè,,,"god of the soil and altars to him; group of families; company, society"
U+7940,祀,sì,,,"to sacrifice, worship"
U+7941,祁,qí,,,"pray; numerous, ample, abundant"
U+7947,祇,qí,,,"the spirit of the earth; (same as 只) only, merely, but"
U+7948,祈,qí,,,"pray; entreat, beseech"
U+7949,祉,zhǐ,,,"happiness, blessings, good luck"
U+794E,祎,yī,禕,,excellent
U+7950,祐,yòu,,,"divine intervention, protection"
U+7955,祕,mì,,,"mysterious, secret, abstruse"
U+7956,祖,zǔ,,,"ancestor, forefather; grandfather"
U+795A,祚,zuò,,,"throne; bless; blessing, happiness"
U+795B,祛,qū,,,"expel, disperse, exorcise"
U+795C,祜,hù,,,"blessing, happiness, prosperity"
U+795D,祝,zhù,,,pray for happiness or blessings
U+795E,神,shén,,,"spirit, god, supernatural being"
U+7960,祠,cí,,,ancestral temple; offer sacrifice
U+7965,祥,xiáng,,,"good luck, good omen; happiness"
U+7968,票,piào,,,slip of paper or bamboo; ticket
U+796D,祭,jì,,,"sacrifice to, worship"
U+796F,祯,zhēn,禎,,"lucky, auspicious, good omen"
U+7977,祷,dǎo,"祷,禱",祷,"pray; entreat, beg, plead; prayer"
U+7978,祸,huò,禍,,"misfortune, calamity, disaster"
U+797A,祺,qí,,,"good luck, good fortune"
U+797F,祿,lù,,禄,"blessing, happiness, prosperity"
U+7980,禀,bǐng,"禀,稟",禀,"report to, petition"
U+7981,禁,jìn,,,"restrict, prohibit, forbid"
U+7984,禄,lù,祿,,"blessing, happiness, prosperity"
U+7985,禅,chán,禪,,"meditation, contemplation"
U+798D,禍,huò,,祸,"misfortune, calamity, disaster"
U+798E,禎,zhēn,,祯,"lucky, auspicious, good omen"
U+798F,福,fú,,,"happiness, good fortune, blessing"
U+7995,禕,yī,,祎,"excellent, rare; beautiful, fine"
U+79A6,禦,yù,,御,"defend, resist, hold out against"
U+79A7,禧,xǐ,,,happiness; congratulations
U+79AA,禪,chán,,禅,"meditation, contemplation (dhyana); to level ground for altar; abdicate"
U+79AE,禮,lǐ,,礼,social custom; manners; courtesy; rites
U+79B1,禱,dǎo,,祷,"pray; entreat, beg, plead; prayer"
U+79B9,禹,yǔ,,,legendary hsia dynasty founder
U+79BA,禺,yú,,,district; mountain in Zhejiang
U+79BB,离,lí,離,,rare beast; strange; elegant
U+79BD,禽,qín,,,"birds, fowl; surname; capture"
U+79BE,禾,hé,,,grain still on stalk; rice plant
U+79BF,禿,tū,,秃,"bald, bare, stripped"
U+79C0,秀,xiù,,,"ear of grain; flowering, luxuriant; refined, elegant, graceful"
U+79C1,私,sī,,,"private, personal; secret"
U+79C3,秃,tū,"禿,秃",秃,bald
U+79C6,秆,gǎn,"秆,稈",秆,straw; stalk of grain
U+79C9,秉,bǐng,,,"grasp, hold; bundle; authority"
U+79CB,秋,qiū,"秋,鞦",秋,"autumn, fall; year"
U+79CD,种,zhǒng,"种,種",种,"seed; race, breed; to plant"
U+79D1,科,kē,,,"section, department, science"
U+79D2,秒,miǎo,,,beard of grain or corn; a second
U+79D8,秘,mì,,,"secret, mysterious, abstruse"
U+79DF,租,zū,,,"rent, lease; rental; tax"
U+79E3,秣,mò,,,"fodder, horse feed; feed horse"
U+79E4,秤,chèng,,,"balance, scale, steelyard"
U+79E6,秦,qín,,,feudal state of Qin; the Qin dynasty (from which the name 'China' comes)
U+79E7,秧,yāng,,,"rice seedlings, young rice plants"
U+79E9,秩,zhì,,,order; orderly; salary; decade
U+79ED,秭,zǐ,,,one billion; also used for higher powers of ten; a county in Hubei province
U+79EF,积,jī,積,,"accumulate, store up, amass"
U+79F0,称,chēng,"称,稱",称,"call; name, brand; address; say"
U+79F8,秸,jiē,,,"stalks of millet, corn"
U+79FB,移,yí,,,"change place, shift; move about"
U+79FD,秽,huì,穢,,"dirty, unclean; immoral, obscene"
U+7A00,稀,xī,,,"rare, unusual, scarce; sparse"
U+7A05,稅,shuì,,税,"taxes, revenue, duty; tax"
U+7A08,稈,gǎn,,秆,stalk of grain; straw
U+7A0B,程,chéng,,,"journey, trip; schedule, agenda"
U+7A0D,稍,shāo,,,"little, slightly; rather"
U+7A0E,税,shuì,稅,,taxes
U+7A14,稔,rěn,,,"ripe grain; harvest; to know, be familiar with"
U+7A19,稙,zhī,,,grain ready for grinding
U+7A1A,稚,zhì,,,"young, immature; childhood"
U+7A1C,稜,léng,,,"corner, edge, angle; square block"
U+7A1E,稞,kē,,,grain ready for grinding; grain
U+7A1F,稟,bǐng,,禀,"report to, petition"
U+7A20,稠,chóu,,,"dense, crowded, packed; soupy"
U+7A23,稣,sū,穌,,"revive, to rise again; collect"
U+7A2E,種,zhǒng,,种,seed; race; offspring; to plant
U+7A31,稱,chēng,,称,"call; name, brand; address; say"
U+7A33,稳,wěn,"稳,穩",稳,"stable, firm, solid, steady"
U+7A3B,稻,dào,,,"rice growing in field, rice plant"
U+7A3C,稼,jià,,,sow grain; sheaves of grain
U+7A3D,稽,jī,,,"examine, investigate; delay"
U+7A3F,稿,gǎo,,,"draft, manuscript, rough copy"
U+7A40,穀,gǔ,,谷,"corn, grain, cereal; lucky"
U+7A46,穆,mù,,,"majestic, solemn, reverent; calm"
U+7A4C,穌,sū,,稣,"revive, to rise again; collect"
U+7A4D,積,jī,,积,"accumulate, store up, amass"
U+7A4E,穎,yǐng,,颖,rice tassel; sharp point; clever
U+7A57,穗,suì,,,ear of grain; tassel; Guangzhou
U+7A69,穩,wěn,,稳,"stable, firm, solid, steady"
U+7A6B,穫,huò,,获,"harvest, cut grain"
U+7A74,穴,xué,,,"cave, den, hole; Kangxi radical 116"
U+7A76,究,jiū,,,"examine, investigate"
U+7A77,穷,qióng,"穷,窮",穷,"poor, destitute, impoverished"
U+7A79,穹,qióng,,,high and vast; elevated; arched
U+7A7A,空,kōng,,,"empty, hollow, bare, deserted"
U+7A7F,穿,chuān,,,"penetrate, pierce, drill; wear"
U+7A81,突,tū,,,"suddenly, abruptly, unexpectedly"
U+7A83,窃,qiè,"窃,竊",窃,"secretly, stealthily; steal; thief"
U+7A84,窄,zhǎi,,,"narrow, tight; narrow-minded"
U+7A88,窈,yǎo,,,"obscure, secluded; refined"
U+7A8D,窍,qiào,竅,,"hole, opening, aperture"
U+7A91,窑,yáo,窯,,kiln; coal mine pit
U+7A92,窒,zhì,,,"stop up, obstruct"
U+7A95,窕,tiǎo,,,"slender; quiet and modest, charming"
U+7A96,窖,jiào,,,"pit, cellar"
U+7A97,窗,chuāng,,,window
U+7A98,窘,jiǒng,,,embarrassed; hard-pressed
U+7A9C,窜,cuàn,竄,,"run away; revise, edit; expel"
U+7A9D,窝,wō,窩,,"nest; cave, den; hiding place"
U+7A9F,窟,kū,,,"hole, cave; cellar; underground"
U+7AA5,窥,kuī,窺,,"peep, watch, spy on, pry"
U+7AA6,窦,dòu,竇,,"surname; hole, burrow; corrupt"
U+7AA8,窨,yìn,,,"a cellar, a store-room"
U+7AA9,窩,wō,,窝,"nest; cave, den; hiding place"
U+7AAA,窪,wā,,洼,hollow; pit; depression; swamp
U+7AAE,窮,qióng,,穷,"poor, destitute, impoverished"
U+7AAF,窯,yáo,,窑,kiln; coal mine pit
U+7ABA,窺,kuī,,窥,"peep, watch, spy on, pry"
U+7ABF,窿,lóng,,,"mine shaft; cavity, hole"
U+7AC4,竄,cuàn,,窜,"run away; revise, edit; expel"
U+7AC5,竅,qiào,,窍,"hole, opening, aperture"
U+7AC7,竇,dòu,,窦,"surname; hole, burrow; corrupt"
U+7ACA,竊,qiè,,窃,"secretly, stealthily; steal; thief"
U+7ACB,立,lì,,,"stand; let stand; establish, set"
U+7AD6,竖,shù,"竪,豎",,"perpendicular, vertical; erect"
U+7AD9,站,zhàn,,,"stand up; a stand, station"
U+7ADC,竜,lóng,,,dragon; symbolic of emperor
U+7ADE,竞,jìng,競,,"contend, vie, compete"
U+7ADF,竟,jìng,,,"finally, after all, at last"
U+7AE0,章,zhāng,,,"composition; chapter, section"
U+7AE3,竣,jùn,,,"terminate, end, finish; quit"
U+7AE5,童,tóng,,,"child, boy, servant boy; virgin"
U+7AED,竭,jié,,,put forth great effort; exhaust
U+7AEF,端,duān,,,"end, extreme; head; beginning"
U+7AF6,競,jìng,,竞,"contend, vie, compete"
U+7AF9,竹,zhú,,,bamboo; flute; Kangxi radical 118
U+7AFA,竺,zhú,,,India; bamboo; surname
U+7AFF,竿,gān,,,bamboo pole; penis
U+7B03,笃,dǔ,篤,,"deep, true, sincere, genuine"
U+7B08,笈,jí,,,bamboo box used carry books
U+7B0B,笋,sǔn,"笋,筍",笋,bamboo shoots
U+7B11,笑,xiào,,,"smile, laugh, giggle; snicker"
U+7B14,笔,bǐ,"笔,筆",笔,writing brush; write; stroke
U+7B19,笙,shēng,,,small gourd-shaped musical instrument
U+7B1B,笛,dí,,,bamboo flute; whistle
U+7B1E,笞,chī,,,bamboo rod used for beatings
U+7B20,笠,lì,,,bamboo hat; bamboo covering
U+7B26,符,fú,,,"i.d. tag, tally, symbol, charm"
U+7B28,笨,bèn,,,"foolish, stupid, dull; awkward"
U+7B2C,第,dì,,,"sequence, number; grade, degree"
U+7B39,笹,shì,,,small bamboo
U+7B3A,笺,jiān,箋,,"note, memo; stationery; comments"
U+7B3C,笼,lóng,籠,,cage; cage-like basket
U+7B46,筆,bǐ,,笔,writing brush; write; stroke
U+7B49,等,děng,,,"rank, grade; to wait; equal, “and so forth”"
U+7B4B,筋,jīn,,,muscles; tendons
U+7B4D,筍,sǔn,,笋,bamboo shoot; joint; tendon
U+7B4F,筏,fá,,,raft
U+7B50,筐,kuāng,,,bamboo basket or chest
U+7B51,筑,zhù,"筑,築",筑,ancient lute; build
U+7B52,筒,tǒng,,,thick piece of bamboo; pipe
U+7B54,答,dá,,,"answer, reply; return; assent to"
U+7B56,策,cè,,,"scheme, plan; to whip; urge"
U+7B5B,筛,shāi,篩,,"sieve, filter, screen; sift"
U+7B5D,筝,zhēng,箏,,stringed musical instrument; kite
U+7B60,筠,yún,,,bamboo skin; bamboo
U+7B71,筱,xiǎo,,,dwarf bamboo; diminutive in person's name
U+7B75,筵,yán,,,feast
U+7B77,筷,kuài,,,chopsticks
U+7B79,筹,chóu,籌,,"chip, tally, token; raise money"
U+7B7E,签,qiān,"簽,籤",,"sign, endorse; slip of paper"
U+7B80,简,jiǎn,簡,,"simple, terse, succinct, a letter"
U+7B87,箇,gè,,,"numerary adjunct, piece; single"
U+7B8B,箋,jiān,,笺,"note, memo; stationery; comments"
U+7B8D,箍,gū,,,"hoop; bind, surround"
U+7B8F,箏,zhēng,,筝,stringed musical instrument; kite
U+7B94,箔,bó,,,reed screen; frame for growing silkworms
U+7B95,箕,jī,,,"sieve; dust pan, garbage bag; 7th lunar mansion, determinative star γ² Sagittarii (Alnasl)"
U+7B97,算,suàn,,,"count, calculate, figure; plan"
U+7B9C,箜,kōng,,,ancient string music instrument
U+7B9D,箝,qián,,,"tweezers, pliers, tongs, pincers"
U+7BA1,管,guǎn,,,"pipe, tube, duct; woodwind music"
U+7BA9,箩,luó,"箩,籮",箩,bamboo basket
U+7BAC,箬,ruò,,,the cuticle of the bamboo a broad-leaved bamboo
U+7BAD,箭,jiàn,,,arrow; type of bamboo
U+7BB1,箱,xiāng,,,"case, box, chest, trunk"
U+7BC0,節,jié,,节,"knot, node, joint; section; hexagram ䷻"
U+7BC1,篁,huáng,,,bamboo grove; bamboo
U+7BC4,範,fàn,,范,"pattern, model, rule, law"
U+7BC6,篆,zhuàn,,,"seal script; seal, official stamp"
U+7BC7,篇,piān,,,"chapter, section, essay, article"
U+7BC9,築,zhú,,筑,"build, erect; building"
U+7BCC,篌,hóu,,,ancient musical instrument; harp
U+7BD1,篑,kuì,簣,,a bamboo basket for carrying earth
U+7BD3,篓,lǒu,"篓,簍",篓,bamboo basket
U+7BDD,篝,gōu,,,bamboo basket; bamboo frame
U+7BE0,篠,xiǎo,,,dwarf bamboo; diminutive in person's name
U+7BE1,篡,cuàn,,,usurp
U+7BE4,篤,dǔ,,笃,"deep, true, sincere, genuine"
U+7BE9,篩,shāi,,筛,"sieve, filter, screen; sift"
U+7BEA,篪,chí,,,a bamboo flute with seven holes
U+7BEE,篮,lán,籃,,basket
U+7BF1,篱,lí,"篱,籬",篱,bamboo or wooden fence; hedge
U+7BF7,篷,péng,,,"awning, covering; sail; boat"
U+7BFE,篾,miè,,,bamboo splints or slats
U+7C07,簇,cù,,,"swarm, crowd together, cluster"
U+7C0B,簋,guǐ,,,a square basket of bamboo for holding grain used at sacrifices
U+7C0C,簌,sù,,,(of flower petals) falling
U+7C0D,簍,lǒu,,篓,bamboo basket
U+7C0F,簏,lù,,,"a box, a basket"
U+7C21,簡,jiǎn,,简,"simple, terse, succinct; letter"
U+7C27,簧,huáng,,,reed of woodwind instrument
U+7C2A,簪,zān,,,"hairpin, clasp; wear in hair"
U+7C37,簷,yán,,,eaves of house; brim
U+7C38,簸,bǒ,,,winnower
U+7C3D,簽,qiān,,签,"sign, endorse; slip of paper"
U+7C3E,簾,lián,,帘,"a blind, screen, curtain"
U+7C3F,簿,bù,,,"register, account book, notebook"
U+7C41,籁,lài,籟,,bamboo flute; pipe; various sound
U+7C43,籃,lán,,篮,basket
U+7C4C,籌,chóu,,筹,"chip, tally, token; raise money"
U+7C4D,籍,jí,,,"record, register, list; census"
U+7C5F,籟,lài,,籁,bamboo flute; pipe; various sound
U+7C60,籠,lóng,,笼,cage; cage-like basket
U+7C64,籤,qiān,,签,tally; lot; marker
U+7C6C,籬,lí,,篱,bamboo or wooden fence; hedge
U+7C6E,籮,luó,,箩,bamboo basket
U+7C72,籲,yù,,吁,appeal; request; implore
U+7C73,米,mǐ,,,hulled or husked uncooked rice
U+7C7B,类,lèi,類,,"class, group, kind, category"
U+7C7D,籽,zǐ,,,"seed, pip, pit, stone"
U+7C84,粄,bǎn,,,
U+7C89,粉,fěn,,,"powder, face powder; plaster"
U+7C91,粑,bā,,,"bread, cake; tsamba (Tibetan barley bread)"
U+7C92,粒,lì,,,grain; small particle
U+7C95,粕,pò,,,"lees, dregs, sediments left after distilling liquor"
U+7C97,粗,cū,,,"rough, thick, course; rude"
U+7C98,粘,zhān,,,"viscous, mucous; glutinous"
U+7C9B,粛,sù,,,pay respects; reverently
U+7C9F,粟,sù,,,unhusked millet; grain
U+7CA4,粤,yuè,粵,,Guangdong and Guangxi provinces; initial particle
U+7CA5,粥,zhōu,,,"rice gruel, congee"
U+7CA7,粧,zhuāng,,,toilet; make-up; dress up; adorn
U+7CAA,粪,fèn,糞,,"manure, dung, excrement, night soil"
U+7CAE,粮,liáng,"粮,糧",粮,"food, grain, provisions"
U+7CB1,粱,liáng,,,better varieties of millet
U+7CB3,粳,jīng,,,non-glutinous rice
U+7CB5,粵,yuè,,粤,Guangdong and Guangxi provinces; initial particle
U+7CB9,粹,cuì,,,pure; unadulterated; select
U+7CBC,粼,lín,,,clear like water; crystalline
U+7CBD,粽,zòng,,,dumpling made of glutinous rice
U+7CBE,精,jīng,,,essence; semen; spirit
U+7CBF,粿,guǒ,,,rice cake
U+7CC5,糅,róu,,,"blend, mix; mixed"
U+7CCA,糊,hú,,,"paste, stick on with paste"
U+7CCD,糍,cí,,,food made of crushed and cooked rice
U+7CD5,糕,gāo,,,"cakes, pastry"
U+7CD6,糖,táng,,,sugar; candy; sweets
U+7CD7,糗,qiǔ,,,parched wheat or rice; broken grain
U+7CD9,糙,cāo,,,"coarse, harsh, rough, unpolished rice"
U+7CDC,糜,mí,,,"rice gruel, congee; mashed rice"
U+7CDE,糞,fèn,,粪,"manure, dung, night soil"
U+7CDF,糟,zāo,,,"sediment, dregs; pickle"
U+7CE7,糧,liáng,,粮,"food, grain, provisions"
U+7CEF,糯,nuò,,,"glutinous rice; glutinous, sticky"
U+7CF0,糰,tuán,,"团,𰪶",rice ball
U+7CF8,糸,mì,,,silk; Kangxi radical 120
U+7CFB,系,xì,"係,系,繫",系,"system; line, link, connection"
U+7CFE,糾,jiū,,纠,"investigate, inspect"
U+7D00,紀,jì,,纪,"record, annal, historical account"
U+7D04,約,yuē,,约,"treaty, agreement, covenant"
U+7D05,紅,hóng,,红,"red, vermillion; blush, flush"
U+7D09,紉,rèn,,纫,"thread needle, sew stitch, string"
U+7D0A,紊,wěn,,,"confused, disorder"
U+7D0B,紋,wén,,纹,"line, streak, stripe; wrinkle"
U+7D0D,納,nà,,纳,"admit, take, receive, accept"
U+7D10,紐,niǔ,,纽,"knot; button; handle, knob; tie"
U+7D13,紓,shū,,纾,"loosen, relax, relieve; extricate"
U+7D14,純,chún,,纯,"pure, clean, simple"
U+7D17,紗,shā,,纱,"gauze, thin silk; yarn, thread"
U+7D19,紙,zhǐ,,纸,paper
U+7D1A,級,jí,,级,"level, rank, class; grade"
U+7D1B,紛,fēn,,纷,"in disorder, scattered, tangled"
U+7D1C,紜,yún,,纭,"confused, in disorder; numerous"
U+7D20,素,sù,,,white (silk); plain; vegetarian; formerly; normally
U+7D21,紡,fǎng,,纺,"spin, reel, weave; reeled pongee"
U+7D22,索,suǒ,,,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated"
U+7D27,紧,jǐn,緊,,"tense, tight, taut; firm, secure"
